"Tract","NAME","TotHH","TotPerson","Age18to34","Age35to49","Age50to64","Age65plus","AgeUnder18","Adult18plus","CompMOS","nBGs"
"26163500100","Census Tract 5001; Wayne County; Michigan",1492,3996,1087,701,672,292,1244,2752,12.3839412402052,2
"26163500200","Census Tract 5002; Wayne County; Michigan",1076,3037,749,554,496,289,949,2088,9.40612481262801,2
"26163500300","Census Tract 5003; Wayne County; Michigan",917,2149,598,375,354,137,685,1464,6.59038715643415,2
"26163500400","Census Tract 5004; Wayne County; Michigan",406,751,143,166,146,96,200,551,2.48804405243725,3
"26163500500","Census Tract 5005; Wayne County; Michigan",644,1507,402,236,268,170,431,1076,4.82042715093265,2
"26163500600","Census Tract 5006; Wayne County; Michigan",1178,2692,706,454,474,226,832,1860,8.35568750893417,4
"26163500700","Census Tract 5007; Wayne County; Michigan",1679,4109,1008,778,702,291,1330,2779,12.5348617132555,4
"26163500800","Census Tract 5008; Wayne County; Michigan",1009,2569,636,483,471,194,785,1784,8.03500289810714,2
"26163500900","Census Tract 5009; Wayne County; Michigan",1540,3706,940,679,647,307,1133,2573,11.584860738928,2
"26163501000","Census Tract 5010; Wayne County; Michigan",1163,2945,752,497,521,259,916,2029,9.11447279956538,2
"26163501100","Census Tract 5011; Wayne County; Michigan",1345,3328,850,573,514,350,1041,2287,10.290300694127,4
"26163501200","Census Tract 5012; Wayne County; Michigan",766,1609,393,273,296,140,507,1102,4.94943022820217,1
"26163501300","Census Tract 5013; Wayne County; Michigan",1308,3078,802,536,491,346,903,2175,9.78112990580761,3
"26163501400","Census Tract 5014; Wayne County; Michigan",1505,3624,867,686,684,448,939,2685,12.071255561907,3
"26163501500","Census Tract 5015; Wayne County; Michigan",1578,4056,1027,823,701,342,1163,2893,13.0590225082346,3
"26163501600","Census Tract 5016; Wayne County; Michigan",907,1955,484,338,413,232,488,1467,6.57121756935442,2
"26163501700","Census Tract 5017; Wayne County; Michigan",1045,2218,481,401,465,418,453,1765,7.90314099153854,2
"26163501800","Census Tract 5018; Wayne County; Michigan",1896,4117,979,759,852,612,915,3202,14.3574438945564,2
"26163501900","Census Tract 5019; Wayne County; Michigan",1112,2490,591,475,441,213,770,1720,7.75245742656294,2
"26163502000","Census Tract 5020; Wayne County; Michigan",766,1858,437,357,346,149,569,1289,5.8079780680262,1
"26163502600","Census Tract 5026; Wayne County; Michigan",1546,3321,747,563,514,494,1003,2318,10.4165485828634,6
"26163502700","Census Tract 5027; Wayne County; Michigan",1278,2359,506,429,560,357,507,1852,8.28711022136154,4
"26163503100","Census Tract 5031; Wayne County; Michigan",1122,2996,708,506,611,396,775,2221,9.94657067056723,2
"26163503200","Census Tract 5032; Wayne County; Michigan",1202,3002,783,572,498,215,934,2068,9.32901212025955,2
"26163503300","Census Tract 5033; Wayne County; Michigan",1360,3407,805,644,547,312,1099,2308,10.4128471722225,2
"26163503400","Census Tract 5034; Wayne County; Michigan",494,886,203,178,190,102,213,673,3.02565852608225,1
"26163503500","Census Tract 5035; Wayne County; Michigan",1239,2709,681,510,473,273,772,1937,8.72147198359724,3
"26163503600","Census Tract 5036; Wayne County; Michigan",643,1476,377,273,238,192,396,1080,4.86028700715389,1
"26163503900","Census Tract 5039; Wayne County; Michigan",826,1730,433,287,298,247,465,1265,5.67275275903994,1
"26163504000","Census Tract 5040; Wayne County; Michigan",469,1093,249,215,168,140,321,772,3.48395407014634,2
"26163504100","Census Tract 5041; Wayne County; Michigan",611,1173,266,208,250,171,278,895,4.00896421955772,2
"26163504200","Census Tract 5042; Wayne County; Michigan",875,1644,390,293,312,223,426,1218,5.46604687507775,1
"26163504300","Census Tract 5043; Wayne County; Michigan",912,1834,428,342,353,279,432,1402,6.29419736980899,3
"26163504400","Census Tract 5044; Wayne County; Michigan",715,1416,313,283,278,171,371,1045,4.70378137091111,3
"26163505100","Census Tract 5051; Wayne County; Michigan",1441,2888,692,495,637,429,635,2253,10.0768538024729,3
"26163505200","Census Tract 5052; Wayne County; Michigan",1340,2943,731,506,548,419,739,2204,9.88171976621976,2
"26163505400","Census Tract 5054; Wayne County; Michigan",900,1927,459,352,351,255,510,1417,6.36677788392864,2
"26163505600","Census Tract 5056; Wayne County; Michigan",1794,4078,980,706,806,500,1086,2992,13.4156007833423,3
"26163505700","Census Tract 5057; Wayne County; Michigan",1635,2936,611,540,631,517,637,2299,10.2992797001645,5
"26163505800","Census Tract 5058; Wayne County; Michigan",1199,3337,857,555,470,339,1116,2221,9.99795392957866,4
"26163506100","Census Tract 5061; Wayne County; Michigan",744,1875,507,319,336,217,496,1379,6.18714251156559,1
"26163506200","Census Tract 5062; Wayne County; Michigan",778,1814,447,323,333,250,461,1353,6.07306683041933,1
"26163506300","Census Tract 5063; Wayne County; Michigan",826,1860,444,332,344,241,499,1361,6.11117962163283,2
"26163506400","Census Tract 5064; Wayne County; Michigan",342,842,206,179,209,103,145,697,3.12890443240342,2
"26163506500","Census Tract 5065; Wayne County; Michigan",932,1963,423,362,408,266,504,1459,6.54670054527367,2
"26163506600","Census Tract 5066; Wayne County; Michigan",1257,2713,629,468,529,344,743,1970,8.83430632253291,2
"26163506700","Census Tract 5067; Wayne County; Michigan",457,1023,207,184,223,156,253,770,3.44964882009693,1
"26163506800","Census Tract 5068; Wayne County; Michigan",1637,3904,924,701,748,533,998,2906,13.0415554487675,3
"26163506900","Census Tract 5069; Wayne County; Michigan",1459,3579,850,633,579,489,1028,2551,11.4699459213446,3
"26163507000","Census Tract 5070; Wayne County; Michigan",1183,2720,634,467,449,336,834,1886,8.47677733046855,2
"26163507100","Census Tract 5071; Wayne County; Michigan",1060,2266,513,389,472,316,576,1690,7.56851351736615,2
"26163507200","Census Tract 5072; Wayne County; Michigan",519,1003,231,188,185,146,253,750,3.37032671512915,1
"26163507300","Census Tract 5073; Wayne County; Michigan",1086,2285,517,362,438,370,598,1687,7.54615967567027,2
"26163507400","Census Tract 5074; Wayne County; Michigan",1206,2488,590,438,519,344,597,1891,8.47204740560622,2
"26163507500","Census Tract 5075; Wayne County; Michigan",1072,2221,474,377,419,411,540,1681,7.52843015790344,2
"26163508000","Census Tract 5080; Wayne County; Michigan",629,1098,270,210,270,85,263,835,3.74438606634077,2
"26163508100","Census Tract 5081; Wayne County; Michigan",679,1271,277,252,259,175,308,963,4.32921983127245,2
"26163509000","Census Tract 5090; Wayne County; Michigan",1090,1975,456,391,401,263,464,1511,6.79215660877769,4
"26163509100","Census Tract 5091; Wayne County; Michigan",1440,4563,1293,771,778,372,1349,3214,14.4400540564108,5
