"BlockGroup","TractFIPS","NAME","TotHH","TotPerson","Age18to34","Age35to49","Age50to64","Age65plus","AgeUnder18","Adult18plus","CompMOS"
"261635338002","26163533800","Block Group 2; Census Tract 5338; Wayne County; Michigan",305,553,125,83,112,84,149,404,1.80429133995513
"261635338001","26163533800","Block Group 1; Census Tract 5338; Wayne County; Michigan",309,434,89,94,84,67,100,334,1.50544978878812
"261635338003","26163533800","Block Group 3; Census Tract 5338; Wayne County; Michigan",266,424,96,69,97,79,83,341,1.52162845621344
"261635338004","26163533800","Block Group 4; Census Tract 5338; Wayne County; Michigan",304,510,100,99,127,40,144,366,1.64288772999514
"261635339001","26163533900","Block Group 1; Census Tract 5339; Wayne County; Michigan",688,864,348,154,188,75,99,765,3.42301657465725
"261635339002","26163533900","Block Group 2; Census Tract 5339; Wayne County; Michigan",698,792,266,103,185,122,116,676,3.00316117354402
"261635339003","26163533900","Block Group 3; Census Tract 5339; Wayne County; Michigan",941,1319,460,232,287,155,185,1134,5.07249705415236
"261635339004","26163533900","Block Group 4; Census Tract 5339; Wayne County; Michigan",283,381,188,77,44,33,39,342,1.54145476285741
"261635341001","26163534100","Block Group 1; Census Tract 5341; Wayne County; Michigan",435,540,107,108,137,78,110,430,1.92707013680122
"261635341002","26163534100","Block Group 2; Census Tract 5341; Wayne County; Michigan",692,1151,252,213,267,154,265,886,3.96916530546878
"261635342001","26163534200","Block Group 1; Census Tract 5342; Wayne County; Michigan",764,1436,307,260,296,213,360,1076,4.82496560589277
"261635342002","26163534200","Block Group 2; Census Tract 5342; Wayne County; Michigan",573,1030,249,175,194,173,239,791,3.54283442373427
"261635342003","26163534200","Block Group 3; Census Tract 5342; Wayne County; Michigan",295,525,114,84,118,74,135,390,1.74213528165838
"261635343001","26163534300","Block Group 1; Census Tract 5343; Wayne County; Michigan",676,1087,283,194,207,136,267,820,3.67953901194835
"261635344001","26163534400","Block Group 1; Census Tract 5344; Wayne County; Michigan",520,916,213,150,207,119,227,689,3.07930845270841
"261635344002","26163534400","Block Group 2; Census Tract 5344; Wayne County; Michigan",354,558,135,101,121,89,112,446,1.99698154137221
"261635347001","26163534700","Block Group 1; Census Tract 5347; Wayne County; Michigan",544,1104,237,192,180,155,340,764,3.43473296479401
"261635347002","26163534700","Block Group 2; Census Tract 5347; Wayne County; Michigan",360,764,162,124,164,113,201,563,2.51711814301777
"261635347003","26163534700","Block Group 3; Census Tract 5347; Wayne County; Michigan",559,1188,270,205,250,162,301,887,3.97250313144615
"261635348001","26163534800","Block Group 1; Census Tract 5348; Wayne County; Michigan",324,618,151,106,114,91,156,462,2.07138375088597
"261635348002","26163534800","Block Group 2; Census Tract 5348; Wayne County; Michigan",523,924,194,172,165,145,248,676,3.03874284483248
"261635348003","26163534800","Block Group 3; Census Tract 5348; Wayne County; Michigan",347,663,126,149,127,101,160,503,2.27064713018744
"261635350001","26163535000","Block Group 1; Census Tract 5350; Wayne County; Michigan",376,688,160,117,160,74,177,511,2.28597332453905
"261635350002","26163535000","Block Group 2; Census Tract 5350; Wayne County; Michigan",431,940,222,191,175,123,229,711,3.20190549112621
"261635350003","26163535000","Block Group 3; Census Tract 5350; Wayne County; Michigan",434,783,179,141,129,137,197,586,2.63235942632509
"261635351001","26163535100","Block Group 1; Census Tract 5351; Wayne County; Michigan",351,704,183,100,127,90,204,500,2.23443810387195
"261635351002","26163535100","Block Group 2; Census Tract 5351; Wayne County; Michigan",468,1013,256,195,184,132,246,767,3.44971594611178
"261635352001","26163535200","Block Group 1; Census Tract 5352; Wayne County; Michigan",425,800,191,150,142,114,203,597,2.68399586868714
"261635352002","26163535200","Block Group 2; Census Tract 5352; Wayne County; Michigan",632,1219,326,237,202,154,300,919,4.13848663072013
"261635112001","26163511200","Block Group 1; Census Tract 5112; Wayne County; Michigan",705,1165,344,219,195,163,244,921,4.13962241283614
"261635112002","26163511200","Block Group 2; Census Tract 5112; Wayne County; Michigan",31,23,7,8,4,0,4,19,0.0872117166058675
"261635113001","26163511300","Block Group 1; Census Tract 5113; Wayne County; Michigan",325,918,242,157,142,84,293,625,2.8125928643832
"261635113002","26163511300","Block Group 2; Census Tract 5113; Wayne County; Michigan",497,1313,340,218,182,146,427,886,3.98728314378657
"261635114001","26163511400","Block Group 1; Census Tract 5114; Wayne County; Michigan",678,1026,261,176,206,189,194,832,3.72196044269241
"261635114002","26163511400","Block Group 2; Census Tract 5114; Wayne County; Michigan",625,979,247,154,230,212,136,843,3.75481453811642
"261635114003","26163511400","Block Group 3; Census Tract 5114; Wayne County; Michigan",0,0,0,0,0,0,0,0,0
"261635119001","26163511900","Block Group 1; Census Tract 5119; Wayne County; Michigan",526,729,252,143,184,48,102,627,2.80871289647565
"261635119002","26163511900","Block Group 2; Census Tract 5119; Wayne County; Michigan",708,830,247,129,213,104,137,693,3.08654871916913
"261635091003","26163509100","Block Group 3; Census Tract 5091; Wayne County; Michigan",365,1395,413,232,231,72,447,948,4.26277536772452
"261635091004","26163509100","Block Group 4; Census Tract 5091; Wayne County; Michigan",335,1379,405,255,207,91,421,958,4.32155490177577
"261635091005","26163509100","Block Group 5; Census Tract 5091; Wayne County; Michigan",322,617,142,108,119,111,137,480,2.15025840465708
"261635106001","26163510600","Block Group 1; Census Tract 5106; Wayne County; Michigan",468,1419,370,236,165,85,563,856,3.86877717725875
"261635106002","26163510600","Block Group 2; Census Tract 5106; Wayne County; Michigan",648,2125,545,416,333,193,638,1487,6.71317565140702
"261635106003","26163510600","Block Group 3; Census Tract 5106; Wayne County; Michigan",520,1955,509,316,317,176,637,1318,5.92086546781591
"261635318001","26163531800","Block Group 1; Census Tract 5318; Wayne County; Michigan",465,779,191,139,153,93,203,576,2.5846887538558
"261635316002","26163531600","Block Group 2; Census Tract 5316; Wayne County; Michigan",570,999,214,187,250,140,208,791,3.53985453521949
"261635317001","26163531700","Block Group 1; Census Tract 5317; Wayne County; Michigan",476,766,161,108,216,105,176,590,2.61994179202688
"261635317002","26163531700","Block Group 2; Census Tract 5317; Wayne County; Michigan",529,879,208,138,157,154,222,657,2.9394489040358
"261635318002","26163531800","Block Group 2; Census Tract 5318; Wayne County; Michigan",495,721,158,116,169,108,170,551,2.45948300540419
"261635319001","26163531900","Block Group 1; Census Tract 5319; Wayne County; Michigan",527,866,179,159,206,113,209,657,2.94237974457296
"261635321001","26163532100","Block Group 1; Census Tract 5321; Wayne County; Michigan",472,941,260,206,192,163,120,821,3.6912467392395
"261635321002","26163532100","Block Group 2; Census Tract 5321; Wayne County; Michigan",688,1221,330,219,220,190,262,959,4.30216177115213
"261635324001","26163532400","Block Group 1; Census Tract 5324; Wayne County; Michigan",959,1569,442,296,338,179,314,1255,5.62847584285533
"261635326001","26163532600","Block Group 1; Census Tract 5326; Wayne County; Michigan",451,841,256,129,125,115,216,625,2.80095866919632
"261635326002","26163532600","Block Group 2; Census Tract 5326; Wayne County; Michigan",1039,1227,371,208,329,200,119,1108,4.93638573861936
"261635327001","26163532700","Block Group 1; Census Tract 5327; Wayne County; Michigan",499,558,143,103,85,75,152,406,1.82797294960539
"261635330001","26163533000","Block Group 1; Census Tract 5330; Wayne County; Michigan",443,716,175,92,137,131,181,535,2.3819859031681
"261635330002","26163533000","Block Group 2; Census Tract 5330; Wayne County; Michigan",351,710,147,131,211,107,114,596,2.6583078968756
"261635331001","26163533100","Block Group 1; Census Tract 5331; Wayne County; Michigan",383,576,139,58,102,127,150,426,1.88970114648086
"261635331002","26163533100","Block Group 2; Census Tract 5331; Wayne County; Michigan",594,812,172,149,142,166,183,629,2.8229406952859
"261635332001","26163533200","Block Group 1; Census Tract 5332; Wayne County; Michigan",354,527,149,83,101,71,123,404,1.80684344993911
"261635332002","26163533200","Block Group 2; Census Tract 5332; Wayne County; Michigan",349,577,143,81,108,103,142,435,1.94047996716784
"261635333001","26163533300","Block Group 1; Census Tract 5333; Wayne County; Michigan",309,546,106,84,151,94,111,435,1.93451854780893
"261635333002","26163533300","Block Group 2; Census Tract 5333; Wayne County; Michigan",452,650,169,93,134,91,163,487,2.17223247908881
"261635334001","26163533400","Block Group 1; Census Tract 5334; Wayne County; Michigan",419,615,167,111,115,73,149,466,2.09207618170183
"261635334002","26163533400","Block Group 2; Census Tract 5334; Wayne County; Michigan",617,911,190,160,173,123,265,646,2.89970039277999
"261635334003","26163533400","Block Group 3; Census Tract 5334; Wayne County; Michigan",432,689,194,89,141,110,155,534,2.37630853583318
"261635336001","26163533600","Block Group 1; Census Tract 5336; Wayne County; Michigan",414,574,130,106,123,79,136,438,1.96402246140783
"261635336002","26163533600","Block Group 2; Census Tract 5336; Wayne County; Michigan",577,816,172,169,156,100,219,597,2.69114076645032
"261635160002","26163516000","Block Group 2; Census Tract 5160; Wayne County; Michigan",573,996,208,167,239,186,196,800,3.57015157581823
"261635164001","26163516400","Block Group 1; Census Tract 5164; Wayne County; Michigan",739,1097,351,238,255,134,119,978,4.39143369490028
"261635165001","26163516500","Block Group 1; Census Tract 5165; Wayne County; Michigan",854,1119,511,225,239,87,57,1062,4.76202586186255
