"BlockGroup","TractFIPS","NAME","TotHH","TotPerson","Adult18plus","Age18to34","Age35to49","Age50to64","Age65plus","CompMOS","pi_tract","pi_bg_given_tract","pi_overall_bg","f_person_18to34","f_person_35to49","f_person_50to64","f_person_65plus","listed_18to34","listed_35to49","listed_50to64","listed_65plus","total_listed","expected_resp_18to34","expected_resp_35to49","expected_resp_50to64","expected_resp_65plus","expected_total_resp","base_wt_18to34","base_wt_35to49","base_wt_50to64","base_wt_65plus","select_n_18to34","select_n_35to49","select_n_50to64","select_n_65plus","expected_comp_from_select_18to34","expected_comp_from_select_35to49","expected_comp_from_select_50to64","expected_comp_from_select_65plus","total_selected","expected_total_comp_from_select"
"261635002002","26163500200","Block Group 2; Census Tract 5002; Wayne County; Michigan",764,2180,1480,538,394,347,201,6.66879943224955,0.174635675183731,0.708984790771273,0.123814037631338,0.0357560271437789,0.0396134536990289,0.0342942067040899,0.0354073794742624,19.236742603353,15.6077007574174,11.9000897263192,7.11688327432674,53.8614163614163,6.73285991117356,7.02346534083782,5.95004486315959,4.62597412831238,24.3323442434834,225.8816,203.886,235.51,228.1058,20,15,12,7,7,6.75,6,4.55,54,24.3
"261635009002","26163500900","Block Group 2; Census Tract 5009; Wayne County; Michigan",879,2049,1419,513,390,345,171,6.39849304656498,0.215086448176414,0.552315059348486,0.118795484389611,0.0372665519491255,0.0412869367232256,0.035742976437313,0.0369031755472749,19.1177411499014,16.101905322058,12.331326870873,6.31044301858401,53.8614163614164,6.69120940246548,7.2458573949261,6.16566343543649,4.10178796207961,24.2045181949077,225.8816,203.886,235.51,228.1058,20,16,12,6,7,7.2,6,3.9,54,24.1
"261635014002","26163501400","Block Group 2; Census Tract 5014; Wayne County; Michigan",412,990,709,238,185,189,97,3.18877411350002,0.224116935227017,0.264162588319543,0.0592033096958122,0.0747778817277866,0.0828450583624339,0.0717207234057289,0.0740487421594857,17.7971358512132,15.3263357970503,13.5552167236828,7.18272798947011,53.8614163614164,6.22899754792462,6.89685110867262,6.77760836184138,4.66877319315557,24.5722302115942,225.8816,203.886,235.51,228.1058,19,15,13,7,6.65,6.75,6.5,4.55,54,24.45
"261635020001","26163502000","Block Group 1; Census Tract 5020; Wayne County; Michigan",766,1858,1289,437,357,346,149,5.8079780680262,0.10783188524145,1,0.10783188524145,0.0410555568087687,0.0454847064578027,0.0393770746926057,0.0406552348114584,17.9412783254319,16.2380402054356,13.6244678436416,6.0576299869073,53.8614163614164,6.27944741390117,7.30711809244601,6.81223392182079,3.93745949148975,24.3362589196577,225.8816,203.886,235.51,228.1058,19,16,13,6,6.65,7.2,6.5,3.9,54,24.25
"261635034001","26163503400","Block Group 1; Census Tract 5034; Wayne County; Michigan",494,886,673,203,178,190,102,3.02565852608225,0.0561748786140292,1,0.0561748786140292,0.07880921507183,0.0873112994279601,0.0755872429840307,0.0780407670263934,15.9982706595815,15.5414112981769,14.3615761669658,7.96015823669212,53.8614163614164,5.59939473085352,6.99363508417961,7.18078808348292,5.17410285384988,24.9479207523659,225.8816,203.886,235.51,228.1058,17,15,14,8,5.95,6.75,7,5.2,54,24.9
"261635051003","26163505100","Block Group 3; Census Tract 5051; Wayne County; Michigan",518,1325,1018,310,220,290,198,4.55082324986761,0.187088540985555,0.451611518741179,0.0844913401335579,0.0523970632177088,0.0580497556228343,0.0502549041438461,0.0518861531575138,16.2430895974897,12.7709462370236,14.5739222017154,10.2734583251877,53.8614163614164,5.6850813591214,5.7469258066606,7.28696110085769,6.67774791137202,25.3967161780117,225.8816,203.886,235.51,228.1058,17,13,14,10,5.95,5.85,7,6.5,54,25.3
"261635061001","26163506100","Block Group 1; Census Tract 5061; Wayne County; Michigan",744,1875,1379,507,319,336,217,6.18714251156559,0.114871515261484,1,0.114871515261484,0.0385395637922029,0.0426972834460672,0.0369639434957533,0.0381637745847973,19.5395588426468,13.6204334192954,12.4198850145731,8.28153908490101,53.8614163614164,6.8388455949264,6.12919503868294,6.20994250728655,5.38300040518565,24.5609835460815,225.8816,203.886,235.51,228.1058,21,13,12,8,7.35,5.85,6,5.2,54,24.4
"261635069003","26163506900","Block Group 3; Census Tract 5069; Wayne County; Michigan",418,905,674,213,177,145,139,3.03615554910783,0.212952920591243,0.264705306365726,0.0563697680865811,0.0785367447942516,0.0870094345512552,0.075325912160491,0.0777709535352333,16.7283266411756,15.4006699155722,10.9222572632712,10.8101625413974,53.8614163614164,5.85491432441146,6.93030146200748,5.46112863163559,7.02660565190833,25.2729500699629,225.8816,203.886,235.51,228.1058,18,15,11,10,6.3,6.75,5.5,6.5,54,25.05
"261635080001","26163508000","Block Group 1; Census Tract 5080; Wayne County; Michigan",626,1098,835,270,210,270,85,3.74438606634077,0.069518893473122,1,0.069518893473122,0.0636819412558488,0.0705520672433475,0.0610784203727109,0.063060995301203,17.1941241390792,14.815934121103,16.4911735006319,5.36018460060225,53.8614163614164,6.01794344867772,6.66717035449634,8.24558675031597,3.48411999039146,24.4148205438815,225.8816,203.886,235.51,228.1058,18,15,16,5,6.3,6.75,8,3.25,54,24.3
"261635114001","26163511400","Block Group 1; Census Tract 5114; Wayne County; Michigan",678,1026,832,261,176,206,189,3.72196044269241,0.138815045832415,0.497802923352091,0.069102535620631,0.0640656388447377,0.0709771588400945,0.061446431180296,0.0634409515552498,16.7211317384765,12.4919799558566,12.657964823141,11.9903398439422,53.8614163614164,5.85239610846679,5.62139098013549,6.32898241157049,7.79372089856244,25.5964903987352,225.8816,203.886,235.51,228.1058,18,12,12,12,6.3,5.4,6,7.8,54,25.5
"261635139001","26163513900","Block Group 1; Census Tract 5139; Wayne County; Michigan",453,765,612,169,116,182,145,2.72558587173212,0.096596656364464,0.523865750534451,0.0506036798854884,0.0874856947230931,0.0969238138036149,0.0839090004720132,0.0866326445937097,14.7850824082027,11.2431624012193,15.2714380859064,12.5617334660879,53.8614163614164,5.17477884287096,5.0594230805487,7.6357190429532,8.16512675295714,26.03504771933,225.8816,203.886,235.51,228.1058,16,11,15,12,5.6,4.95,7.5,7.8,54,25.85
